seq,composer_original,title_ko,title_original,catalog_numbers,aliases,level,imslp_url,collection_guide
62,"Haydn, Joseph",피아노 소나타 C장조 Hob.XVI:35,"Keyboard Sonata in C major, Hob.XVI:35",Hob.XVI:35,하이든 소나타|하이든 소나타 C장조|하이든 소나타 다장조|하이든 35|Haydn Sonata Hob.XVI:35,INTERMEDIATE,"https://imslp.org/wiki/Keyboard_Sonata_in_C_major,_Hob.XVI:35_(Haydn,_Joseph)",
63,"Bach, Johann Sebastian",3성 신포니아,"15 Sinfonias, BWV 787-801",BWV 787–801,신포니아|3성 인벤션|삼성 인벤션|바흐 신포니아|인벤션 3성|Sinfonias|Three-Part Inventions,INTERMEDIATE,"https://imslp.org/wiki/15_Sinfonias,_BWV_787-801_(Bach,_Johann_Sebastian)","이 악보에는 15곡이 번호 순으로 들어 있어요"
64,"Bach, Johann Sebastian",프랑스 모음곡,"French Suites, BWV 812-817",BWV 812–817,프랑스 모음곡|프랑스 조곡|바흐 프랑스 모음곡|French Suites,INTERMEDIATE,"https://imslp.org/wiki/French_Suites,_BWV_812-817_(Bach,_Johann_Sebastian)","이 악보에는 모음곡 6개가 들어 있고 각 모음곡 안에 여러 춤곡이 있어요"
65,"Schumann, Robert",아라베스크,"Arabeske, Op.18",Op.18,슈만 아라베스크|아라베스크 슈만|아라베스케|Arabeske|Arabesque Schumann,INTERMEDIATE,"https://imslp.org/wiki/Arabeske,_Op.18_(Schumann,_Robert)",
66,"Chopin, Frédéric",화려한 대왈츠,"Grande valse brillante, Op.18",Op.18,화려한 대왈츠|대왈츠|화려한 왈츠|쇼팽 왈츠 1번|왈츠 E플랫|왈츠 내림마장조|Grande valse brillante|Waltz Op.18,INTERMEDIATE,"https://imslp.org/wiki/Grande_valse_brillante,_Op.18_(Chopin,_Frédéric)",
67,"Chopin, Frédéric",마주르카 Op.7,"Mazurkas, Op.7",Op.7,쇼팽 마주르카|마주르카|마주르카 Op.7|마주르카 1번|Mazurka Op.7,INTERMEDIATE,"https://imslp.org/wiki/Mazurkas,_Op.7_(Chopin,_Frédéric)","이 악보에는 마주르카 5곡이 들어 있어요"
68,"Liszt, Franz",위안,"Consolations, S.172",S.172,위안|위안 3번|콘솔레이션|콘솔라시옹|리스트 위안|Consolation|Consolations|Consolation No.3,INTERMEDIATE,"https://imslp.org/wiki/Consolations,_S.172_(Liszt,_Franz)","이 악보에는 6곡이 들어 있어요 — 흔히 아는 곡은 3번이에요"
69,"Debussy, Claude",꿈,"Rêverie, CD 76",CD 76|L.68,드뷔시 꿈|꿈 드뷔시|레베리|레브리|Rêverie|Reverie,INTERMEDIATE,"https://imslp.org/wiki/Rêverie,_CD_76_(Debussy,_Claude)",
70,"Brahms, Johannes",헝가리 무곡,"Hungarian Dances, WoO 1",WoO 1,헝가리 무곡|헝가리안 댄스|브람스 헝가리 무곡|헝가리 무곡 5번|Hungarian Dances|Hungarian Dance No.5,INTERMEDIATE,"https://imslp.org/wiki/21_Hungarian_Dances_(Piano),_WoO_1_(Brahms,_Johannes)","이 악보에는 21곡이 들어 있어요 — 흔히 아는 곡은 5번이에요"
71,"Granados, Enrique",스페인 무곡집,12 Danzas españolas,Op.37,스페인 무곡|스페인 무곡집|안달루사|그라나도스 스페인 무곡|Danzas españolas|Spanish Dances|Andaluza,INTERMEDIATE,"https://imslp.org/wiki/12_Danzas_españolas_(Granados,_Enrique)","이 악보에는 12곡이 들어 있어요 — 흔히 아는 곡은 5번 '안달루사'예요"
72,"Grieg, Edvard",페르 귄트 모음곡 1번,"Peer Gynt Suite No.1, Op.46",Op.46,페르 귄트|페르귄트|아침의 기분|아침 기분|산왕의 궁전에서|솔베이지의 노래|Peer Gynt|Morning Mood|In the Hall of the Mountain King,INTERMEDIATE,"https://imslp.org/wiki/Peer_Gynt_Suite_No.1,_Op.46_(Grieg,_Edvard)","원래는 관현악 곡이에요 — 피아노로 친 편곡 악보가 함께 있어요. 4곡이 들어 있어요"
73,"Satie, Erik",세 개의 사라방드,3 Sarabandes,,사라방드|사티 사라방드|Sarabandes|Sarabande,INTERMEDIATE,"https://imslp.org/wiki/3_Sarabandes_(Satie,_Erik)","이 악보에는 3곡이 들어 있어요"
74,"Beethoven, Ludwig van",피아노 소나타 1번 F단조,"Piano Sonata No.1, Op.2 No.1",Op.2 No.1,베토벤 소나타 1번|소나타 1번|소나타 F단조|소나타 바단조|Op.2-1|Piano Sonata No.1,INTERMEDIATE,"https://imslp.org/wiki/Piano_Sonata_No.1,_Op.2_No.1_(Beethoven,_Ludwig_van)",
75,"Beethoven, Ludwig van",템페스트 소나타,"Piano Sonata No.17, Op.31 No.2",Op.31 No.2,템페스트|템페스트 소나타|폭풍|폭풍 소나타|베토벤 소나타 17번|템페스트 3악장|Tempest|Tempest Sonata,ADVANCED,"https://imslp.org/wiki/Piano_Sonata_No.17,_Op.31_No.2_(Beethoven,_Ludwig_van)",
76,"Beethoven, Ludwig van",발트슈타인 소나타,"Piano Sonata No.21, Op.53",Op.53,발트슈타인|발트슈타인 소나타|왈트슈타인|여명|여명 소나타|베토벤 소나타 21번|Waldstein|Waldstein Sonata,ADVANCED,"https://imslp.org/wiki/Piano_Sonata_No.21,_Op.53_(Beethoven,_Ludwig_van)",
77,"Mozart, Wolfgang Amadeus",피아노 소나타 8번 A단조,"Piano Sonata No.8, K.310/300d",K.310,모차르트 소나타 8번|소나타 A단조|소나타 가단조|모차르트 단조 소나타|K.310,ADVANCED,"https://imslp.org/wiki/Piano_Sonata_No.8_in_A_minor,_K.310/300d_(Mozart,_Wolfgang_Amadeus)",
78,"Chopin, Frédéric",연습곡 Op.25,"Études, Op.25",Op.25,쇼팽 에튀드 25|쇼팽 연습곡 25|나비|나비 에튀드|겨울바람|겨울 바람|에올리안 하프|목동의 피리|Etude Op.25|Butterfly Etude|Winter Wind,ADVANCED,"https://imslp.org/wiki/Études,_Op.25_(Chopin,_Frédéric)","이 악보에는 연습곡 12곡이 번호 순으로 들어 있어요"
79,"Chopin, Frédéric",녹턴 Op.27,"Nocturnes, Op.27",Op.27,녹턴 Op.27|쇼팽 녹턴 7번|쇼팽 녹턴 8번|녹턴 D플랫|녹턴 내림라장조|Nocturne Op.27,ADVANCED,"https://imslp.org/wiki/Nocturnes,_Op.27_(Chopin,_Frédéric)","이 악보에는 녹턴 2곡이 들어 있어요"
80,"Chopin, Frédéric",녹턴 Op.48,"Nocturnes, Op.48",Op.48,녹턴 Op.48|쇼팽 녹턴 13번|쇼팽 녹턴 14번|녹턴 C단조|녹턴 다단조|Nocturne Op.48,ADVANCED,"https://imslp.org/wiki/Nocturnes,_Op.48_(Chopin,_Frédéric)","이 악보에는 녹턴 2곡이 들어 있어요"
81,"Chopin, Frédéric",스케르초 2번,"Scherzo No.2, Op.31",Op.31,스케르초 2번|쇼팽 스케르초|스케르초 B플랫 단조|쉐르초|Scherzo No.2|Scherzo Op.31,ADVANCED,"https://imslp.org/wiki/Scherzo_No.2,_Op.31_(Chopin,_Frédéric)",
82,"Chopin, Frédéric",환상곡 Op.49,"Fantaisie, Op.49",Op.49,쇼팽 환상곡|환상곡 F단조|환상곡 바단조|팡타지|Fantaisie Op.49|Fantasy Op.49,ADVANCED,"https://imslp.org/wiki/Fantaisie,_Op.49_(Chopin,_Frédéric)",
83,"Chopin, Frédéric",발라드 4번 F단조,"Ballade No.4, Op.52",Op.52,발라드 4번|쇼팽 발라드 4번|발라드 바단조|Ballade No.4|Ballade Op.52,ADVANCED,"https://imslp.org/wiki/Ballade_No.4,_Op.52_(Chopin,_Frédéric)",
84,"Chopin, Frédéric",즉흥곡 1번,"Impromptu No.1, Op.29",Op.29,쇼팽 즉흥곡|즉흥곡 1번|임프롬프튀 1번|Impromptu Op.29,ADVANCED,"https://imslp.org/wiki/Impromptu_No.1,_Op.29_(Chopin,_Frédéric)",
85,"Schubert, Franz",즉흥곡 Op.142 (D.935),"4 Impromptus, D.935",D.935|Op.142,슈베르트 즉흥곡 142|즉흥곡 Op.142|즉흥곡 D.935|즉흥곡 3번 변주|Impromptu Op.142|Impromptu D.935,ADVANCED,"https://imslp.org/wiki/4_Impromptus,_D.935_(Schubert,_Franz)","이 악보에는 4곡이 들어 있어요"
86,"Schumann, Robert",환상 소품집,"Fantasiestücke, Op.12",Op.12,환상 소품집|환상소품집|판타지슈튀케|저녁에|비상|날아오름|왜|Fantasiestücke|Des Abends|Aufschwung|Warum,ADVANCED,"https://imslp.org/wiki/Fantasiestücke,_Op.12_(Schumann,_Robert)","이 악보에는 소품 8곡이 들어 있어요"
87,"Mendelssohn, Felix",론도 카프리치오소,"Rondo capriccioso, Op.14",Op.14,론도 카프리치오소|론도 카프리치오조|멘델스존 론도|Rondo capriccioso,ADVANCED,"https://imslp.org/wiki/Rondo_capriccioso,_Op.14_(Mendelssohn,_Felix)",
88,"Brahms, Johannes",3개의 인터메조 Op.117,"3 Intermezzos, Op.117",Op.117,브람스 인터메조 117|인터메조 Op.117|자장가 인터메조|브람스 117|Intermezzo Op.117,ADVANCED,"https://imslp.org/wiki/3_Intermezzos,_Op.117_(Brahms,_Johannes)","이 악보에는 3곡이 들어 있어요"
89,"Liszt, Franz",순례의 해 2년 이탈리아,"Années de pèlerinage II, S.161",S.161,순례의 해|순례의 해 2년|페트라르카 소네트|페트라르카 소네트 104|단테 소나타|Années de pèlerinage|Petrarch Sonnet|Dante Sonata,ADVANCED,"https://imslp.org/wiki/Années_de_pèlerinage_II,_S.161_(Liszt,_Franz)","이 악보에는 7곡이 들어 있어요"
90,"Liszt, Franz",헝가리 광시곡 6번,"Hungarian Rhapsody No.6, S.244/6",S.244/6,헝가리 광시곡 6번|헝가리안 랩소디 6번|Hungarian Rhapsody No.6,ADVANCED,"https://imslp.org/wiki/Hungarian_Rhapsody_No.6,_S.244/6_(Liszt,_Franz)",
91,"Debussy, Claude",전주곡 1권,"Préludes Book 1, CD 125",CD 125|L.117,드뷔시 전주곡|드뷔시 프렐류드|아마빛 머리의 소녀|아마색 머리의 소녀|가라앉은 사원|침몰한 사원|델포이의 무희|Préludes|Prelude Book 1|La fille aux cheveux de lin|La cathédrale engloutie,ADVANCED,"https://imslp.org/wiki/Preludes_(Book_1)_(Debussy,_Claude)","이 악보에는 전주곡 12곡이 들어 있어요"
92,"Debussy, Claude",기쁨의 섬,"L'isle joyeuse, CD 109",CD 109|L.106,기쁨의 섬|환희의 섬|릴 주아이외즈|L'isle joyeuse|Island of Joy,ADVANCED,"https://imslp.org/wiki/L'isle_joyeuse,_CD_109_(Debussy,_Claude)",
93,"Rachmaninoff, Sergei",10개의 전주곡 Op.23,"10 Preludes, Op.23",Op.23,라흐마니노프 전주곡 23|프렐류드 Op.23|프렐류드 G단조|프렐류드 사단조|Prelude Op.23|Prelude Op.23 No.5,ADVANCED,"https://imslp.org/wiki/10_Preludes,_Op.23_(Rachmaninoff,_Sergei)","이 악보에는 전주곡 10곡이 들어 있어요"
94,"Rachmaninoff, Sergei",13개의 전주곡 Op.32,"13 Preludes, Op.32",Op.32,라흐마니노프 전주곡 32|프렐류드 Op.32|프렐류드 G샵 단조|Prelude Op.32,ADVANCED,"https://imslp.org/wiki/13_Preludes,_Op.32_(Rachmaninoff,_Sergei)","이 악보에는 전주곡 13곡이 들어 있어요"
95,"Mussorgsky, Modest",전람회의 그림,Pictures at an Exhibition,,전람회의 그림|전람회그림|프롬나드|프로므나드|키예프의 큰 문|바바야가|Pictures at an Exhibition|Promenade,ADVANCED,"https://imslp.org/wiki/Pictures_at_an_Exhibition_(Mussorgsky,_Modest)","이 악보에는 프롬나드와 10개의 그림이 이어져 있어요"
96,"Albéniz, Isaac",스페인 모음곡 1번,"Suite española No.1, Op.47",Op.47,스페인 모음곡|아스투리아스|아스투리아스 전설|그라나다|세비야|알베니즈 아스투리아스|Suite española|Asturias|Leyenda,ADVANCED,"https://imslp.org/wiki/Suite_española_No.1,_Op.47_(Albéniz,_Isaac)","이 악보에는 8곡이 들어 있어요 — 흔히 아는 곡은 5번 '아스투리아스'예요"
97,"Tchaikovsky, Pyotr",둠카,"Dumka, Op.59",Op.59,둠카|차이콥스키 둠카|러시아 시골 풍경|Dumka,ADVANCED,"https://imslp.org/wiki/Dumka,_Op.59_(Tchaikovsky,_Pyotr)",
98,"Bach, Johann Sebastian",골드베르크 변주곡,"Goldberg Variations, BWV 988",BWV 988,골드베르크|골드베르크 변주곡|골드베르그|아리아 골드베르크|Goldberg Variations|Aria,ADVANCED,"https://imslp.org/wiki/Goldberg_Variations,_BWV_988_(Bach,_Johann_Sebastian)","이 악보에는 아리아와 변주 30곡이 이어져 있어요"
99,"Bach, Johann Sebastian",이탈리아 협주곡,"Italian Concerto, BWV 971",BWV 971,이탈리아 협주곡|이탈리안 콘체르토|바흐 이탈리아|Italian Concerto,ADVANCED,"https://imslp.org/wiki/Italian_Concerto,_BWV_971_(Bach,_Johann_Sebastian)",
100,"Bach, Johann Sebastian",평균율 2권,"Das wohltemperierte Klavier II, BWV 870-893",BWV 870–893,평균율 2권|평균율 클라비어 2권|WTC 2|Well-Tempered Clavier II,ADVANCED,"https://imslp.org/wiki/Das_wohltemperierte_Klavier_II,_BWV_870-893_(Bach,_Johann_Sebastian)","이 악보에는 전주곡과 푸가 24쌍이 들어 있어요"
